ID|Substrates|Products
R02691|['UDP-alpha-D-galactose', '1,2-Diacyl-sn-glycerol']|['UDP', '1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol']
R02241|['Phosphatidate', 'CoA']|['1-Acyl-sn-glycerol 3-phosphate', 'Acyl-CoA']
R00508|["3'-Phosphoadenylyl sulfate"]|['Adenylyl sulfate', 'Orthophosphate']
R00183|['AMP']|['Adenosine', 'Orthophosphate']
R00511|['CMP']|['Cytidine', 'Orthophosphate']
R00963|['UMP']|['Uridine', 'Orthophosphate']
R01126|['IMP']|['Inosine', 'Orthophosphate']
R01227|['GMP']|['Guanosine', 'Orthophosphate']
R02323|['Nicotinamide D-ribonucleotide']|['Nicotinamide-beta-riboside', 'Orthophosphate']
R02719|["Xanthosine 5'-phosphate"]|['Xanthosine', 'Orthophosphate']
R03346|['Nicotinate D-ribonucleotide']|['Nicotinate D-ribonucleoside', 'Orthophosphate']
R01569|['dTMP']|['Thymidine', 'Orthophosphate']
R01664|['dCMP']|['Deoxycytidine', 'Orthophosphate']
R01968|['dGMP']|['Deoxyguanosine', 'Orthophosphate']
R02088|['dAMP']|['Deoxyadenosine', 'Orthophosphate']
R02102|['dUMP']|['Deoxyuridine', 'Orthophosphate']
R01569|['dTMP']|['Thymidine', 'Orthophosphate']
R01664|['dCMP']|['Deoxycytidine', 'Orthophosphate']
R01968|['dGMP']|['Deoxyguanosine', 'Orthophosphate']
R02088|['dAMP']|['Deoxyadenosine', 'Orthophosphate']
R02102|['dUMP']|['Deoxyuridine', 'Orthophosphate']
R04779|['ATP', 'beta-D-Fructose 6-phosphate']|['ADP', 'beta-D-Fructose 1,6-bisphosphate']
R01843|['ATP', 'Sedoheptulose 7-phosphate']|['ADP', 'Sedoheptulose 1,7-bisphosphate']
R00315|['ATP', 'Acetate']|['ADP', 'Acetyl phosphate']
R01353|['ATP', 'Propanoate']|['ADP', 'Propanoyl phosphate']
R00190|['AMP', 'Diphosphate']|['Adenine', '5-Phospho-alpha-D-ribose 1-diphosphate']
R04378|["1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide", 'Diphosphate']|['5-Amino-4-imidazolecarboxyamide', '5-Phospho-alpha-D-ribose 1-diphosphate']
R01132|['IMP', 'Diphosphate']|['Hypoxanthine', '5-Phospho-alpha-D-ribose 1-diphosphate']
R01229|['GMP', 'Diphosphate']|['Guanine', '5-Phospho-alpha-D-ribose 1-diphosphate']
R02142|["Xanthosine 5'-phosphate", 'Diphosphate']|['Xanthine', '5-Phospho-alpha-D-ribose 1-diphosphate']
R08237|['6-Mercaptopurine', '5-Phospho-alpha-D-ribose 1-diphosphate']|["6-Thioinosine-5'-monophosphate", 'Diphosphate']
R08238|['6-Methylmercaptopurine', '5-Phospho-alpha-D-ribose 1-diphosphate']|["6-Methylthiopurine 5'-monophosphate ribonucleotide", 'Diphosphate']
R08245|['Thioguanine', '5-Phospho-alpha-D-ribose 1-diphosphate']|['6-Thioguanosine monophosphate', 'Diphosphate']
R01666|['ATP', 'Deoxycytidine']|['ADP', 'dCMP']
R00086|['ATP']|['ADP', 'Orthophosphate']
R00615|['Thiamin diphosphate']|['Thiamin monophosphate', 'Orthophosphate']
R00127|['ATP', 'AMP']|['2 ADP']
R01547|['ATP', 'dAMP']|['ADP', 'dADP']
R11319|['Thiamin diphosphate', 'ADP']|['Thiamin triphosphate', 'AMP']
R01547|['ATP', 'dAMP']|['ADP', 'dADP']
R01801|['CDP-diacylglycerol', 'sn-Glycerol 3-phosphate']|['CMP', 'Phosphatidylglycerophosphate']
R01800|['CDP-diacylglycerol', 'L-Serine']|['CMP', 'Phosphatidylserine']
R00512|['ATP', 'CMP']|['ADP', 'CDP']
R01665|['ATP', 'dCMP']|['ADP', 'dCDP']
R00158|['ATP', 'UMP']|['ADP', 'UDP']
R00571|['ATP', 'UTP', 'Ammonia']|['ADP', 'Orthophosphate', 'CTP']
R00573|['ATP', 'UTP', 'L-Glutamine']|['ADP', 'Orthophosphate', 'CTP', 'L-Glutamate']
R01663|['dCMP']|['dUMP', 'Ammonia']
R02325|['dCTP']|['dUTP', 'Ammonia']
R01668|['dCTP']|['dCMP', 'Diphosphate']
R01667|['dCDP']|['dCMP', 'Orthophosphate']
R02089|['ATP', 'Deoxyadenosine']|['ADP', 'dAMP']
R01967|['ATP', 'Deoxyguanosine']|['ADP', 'dGMP']
R00939|['Tetrahydrofolate', 'NADP+']|['Dihydrofolate', 'NADPH']
R02235|['Dihydrofolate', 'NAD+']|['Folate', 'NADH']
R02094|['ATP', 'dTMP']|['ADP', 'dTDP']
R02098|['ATP', 'dUMP']|['ADP', 'dUDP']
R02100|['dUTP']|['dUMP', 'Diphosphate']
R11896|['5-Fluorodeoxyuridine triphosphate']|['5-Fluorodeoxyuridine monophosphate', 'Diphosphate']
R00161|['ATP', 'FMN']|['Diphosphate', 'FAD']
R04241|['ATP', 'THF-polyglutamate(n)', 'L-Glutamate']|['ADP', 'Orthophosphate', 'THF-polyglutamate(n+1)']
R00942|['ATP', 'Tetrahydrofolate', 'L-Glutamate']|['ADP', 'Orthophosphate', 'THF-L-glutamate']
R02237|['ATP', 'Dihydropteroate', 'L-Glutamate']|['ADP', 'Orthophosphate', 'Dihydrofolate']
R00765|['D-Glucosamine 6-phosphate']|['D-Fructose 6-phosphate', 'Ammonia']
R02301|['ATP', 'Folinic acid']|['ADP', 'Orthophosphate', '5,10-Methenyltetrahydrofolate']
R01058|['D-Glyceraldehyde 3-phosphate', 'NADP+']|['3-Phospho-D-glycerate', 'NADPH']
R00847|['ATP', 'Glycerol']|['ADP', 'sn-Glycerol 3-phosphate']
R00851|['sn-Glycerol 3-phosphate', 'Acyl-CoA']|['1-Acyl-sn-glycerol 3-phosphate', 'CoA']
R00945|['5,10-Methylenetetrahydrofolate', 'Glycine']|['Tetrahydrofolate', 'L-Serine']
R09099|['L-Serine', '5,6,7,8-Tetrahydromethanopterin']|['5,10-Methylenetetrahydromethanopterin', 'Glycine']
R00332|['ATP', 'GMP']|['ADP', 'GDP']
R02090|['ATP', 'dGMP']|['ADP', 'dGDP']
